sep=; 
"region";"url_region";"estacion";"estacion_enlinea";"url_estacion";"provincia";"comuna";"coord_utm";"huso";"longitud";"latitud";"contaminante";"contaminante_desc";"contaminante_cod";"contaminante_tecnica";"contaminante_fechaInicio";"contaminante_fechaFin";"contaminante_altura";"url_contaminante";"fecha_consulta";"pollutant";"unidad";"macro";"from";"to";"fecha_fin_actual";"url_descarga";"metrica";"ano_inicio";"ano_fin";"mes_inicio";"mes_fin"
"II";"/index.php/region/index/id/II";"Rendic";FALSE;"/index.php/estacion/index/id/33";"Antofagasta";"Antofagasta";"359138 E 7387995 N";"19";-70.3807283982919;-23.6124918535443;"Plomo";"(Pb - µg/m3N)";"00Pb";"No informado";2006-01-02;2007-06-30;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Rendic&macropath=./RII/225/Cal/00Pb&macro=00Pb.diario.diario&from=060102&to=070630&";2020-07-16;"pb";"ug/m3N";"./RII/225/Cal/00Pb/00Pb.diario.diario.ic";"060102";"070630";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/225/Cal/00Pb/00Pb.diario.diario.ic&from=060102&to=070630&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2006;2007;"01";"06"
"II";"/index.php/region/index/id/II";"Rendic";FALSE;"/index.php/estacion/index/id/33";"Antofagasta";"Antofagasta";"359138 E 7387995 N";"19";-70.3807283982919;-23.6124918535443;"Arsénico";"(As - µg/m3N)";"ARSE";"No informado";2006-01-02;2006-12-30;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Rendic&macropath=./RII/225/Cal/ARSE&macro=ARSE.diario.diario&from=060102&to=061230&";2020-07-16;"as";"ug/m3N";"./RII/225/Cal/ARSE/ARSE.diario.diario.ic";"060102";"061230";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/225/Cal/ARSE/ARSE.diario.diario.ic&from=060102&to=061230&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2006;2006;"01";"12"
"II";"/index.php/region/index/id/II";"Rendic";FALSE;"/index.php/estacion/index/id/33";"Antofagasta";"Antofagasta";"359138 E 7387995 N";"19";-70.3807283982919;-23.6124918535443;"Material particulado MP 10";"(MP 10 - µg/m3N)";"PM10";"No informado";2006-01-02;2009-12-30;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Rendic&macropath=./RII/225/Cal/PM10&macro=PM10.diario.diario&from=060102&to=091230&";2020-07-16;"mp10";"ug/m3N";"./RII/225/Cal/PM10/PM10.diario.diario.ic";"060102";"091230";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/225/Cal/PM10/PM10.diario.diario.ic&from=060102&to=091230&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2006;2009;"01";"12"
"II";"/index.php/region/index/id/II";"Rendic";FALSE;"/index.php/estacion/index/id/33";"Antofagasta";"Antofagasta";"359138 E 7387995 N";"19";-70.3807283982919;-23.6124918535443;"Dirección del viento";"Dirección del viento(Dir. viento - °)";"WDIR";"No informado";2009-01-01;2009-12-31;"10m";"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Rendic&macropath=./RII/225/Met/WDIR&macro=horario_010&from=090101&to=091231&";2020-07-16;"wd_10m";"°";"./RII/225/Met/WDIR/horario_010.ic";"090101";"091231";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/225/Met/WDIR/horario_010.ic&from=090101&to=091231&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2009;2009;"01";"12"
"II";"/index.php/region/index/id/II";"Rendic";FALSE;"/index.php/estacion/index/id/33";"Antofagasta";"Antofagasta";"359138 E 7387995 N";"19";-70.3807283982919;-23.6124918535443;"Velocidad del viento";"Velocidad del viento(Vel. viento - m/s)";"WSPD";"No informado";2009-01-01;2009-12-31;"10m";"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Rendic&macropath=./RII/225/Met/WSPD&macro=horario_010&from=090101&to=091231&";2020-07-16;"ws_10m";"m/s";"./RII/225/Met/WSPD/horario_010.ic";"090101";"091231";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/225/Met/WSPD/horario_010.ic&from=090101&to=091231&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2009;2009;"01";"12"
"II";"/index.php/region/index/id/II";"Sur";FALSE;"/index.php/estacion/index/id/46";"Antofagasta";"Antofagasta";"366690 E 7363604 N";"19";-70.308916464497;-23.8333893995483;"Dióxido de azufre";"(SO2 - µg/m3N)";"0001";"No informado";2000-01-01;2008-12-31;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Sur&macropath=./RII/213/Cal/0001&macro=0001.diario.diario&from=000101&to=081231&";2020-07-16;"so2";"ug/m3N";"./RII/213/Cal/0001/0001.diario.diario.ic";"000101";"081231";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/213/Cal/0001/0001.diario.diario.ic&from=000101&to=081231&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2000;2008;"01";"12"
"II";"/index.php/region/index/id/II";"Sur";FALSE;"/index.php/estacion/index/id/46";"Antofagasta";"Antofagasta";"366690 E 7363604 N";"19";-70.308916464497;-23.8333893995483;"Dióxido de azufre";"(SO2 - µg/m3N)";"0001";"No informado";2000-01-01;2008-12-31;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Sur&macropath=./RII/213/Cal/0001&macro=0001.horario.horario&from=080223&to=081231&";2020-07-16;"so2";"ug/m3N";"./RII/213/Cal/0001/0001.horario.horario.ic";"080223";"081231";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/213/Cal/0001/0001.horario.horario.ic&from=080223&to=081231&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2008;2008;"02";"12"
"II";"/index.php/region/index/id/II";"Sur";FALSE;"/index.php/estacion/index/id/46";"Antofagasta";"Antofagasta";"366690 E 7363604 N";"19";-70.308916464497;-23.8333893995483;"Arsénico";"(As - µg/m3N)";"ARSE";"No informado";2009-01-01;2009-12-30;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Sur&macropath=./RII/213/Cal/ARSE&macro=ARSE.diario.diario&from=090101&to=091230&";2020-07-16;"as";"ug/m3N";"./RII/213/Cal/ARSE/ARSE.diario.diario.ic";"090101";"091230";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/213/Cal/ARSE/ARSE.diario.diario.ic&from=090101&to=091230&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2009;2009;"01";"12"
"II";"/index.php/region/index/id/II";"Sur";FALSE;"/index.php/estacion/index/id/46";"Antofagasta";"Antofagasta";"366690 E 7363604 N";"19";-70.308916464497;-23.8333893995483;"Material particulado MP 10";"(MP 10 - µg/m3N)";"PM10";"No informado";2000-01-01;2009-12-30;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Sur&macropath=./RII/213/Cal/PM10&macro=PM10.diario.diario&from=000101&to=091230&";2020-07-16;"mp10";"ug/m3N";"./RII/213/Cal/PM10/PM10.diario.diario.ic";"000101";"091230";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/213/Cal/PM10/PM10.diario.diario.ic&from=000101&to=091230&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2000;2009;"01";"12"
"II";"/index.php/region/index/id/II";"Chiu Chiu";TRUE;"/index.php/estacion/index/id/234";"El Loa";"Calama";"535953 E 7529230 N";"19";-68.650845698563;-22.342415584074;"Dióxido de azufre";"(SO2 - ppb)";"0001";"Continuo Absorción luz ultravioleta";2008-04-29;2019-03-04;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Chiu Chiu&macropath=./RII/228/Cal/0001&macro=0001.diario.diario&from=080429&to=190304&";2020-07-16;"so2";"ppb";"./RII/228/Cal/0001/0001.diario.diario.ic";"080429";"190304";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/228/Cal/0001/0001.diario.diario.ic&from=080429&to=190304&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2008;2019;"04";"03"
