sep=; 
"region";"url_region";"estacion";"estacion_enlinea";"url_estacion";"provincia";"comuna";"coord_utm";"huso";"longitud";"latitud";"fecha_consulta";"n_parametros"
"III";"/index.php/region/index/id/III";"San Fernando";TRUE;"/index.php/estacion/index/id/139";"Copiapó";"Copiapó";"371592 E 6969334 N";"19";-70.2987215091501;-27.3932845402506;2020-07-16;5
"III";"/index.php/region/index/id/III";"SM1 ";TRUE;"/index.php/estacion/index/id/243";"Huasco";"Huasco";"279357 E 6845277 N";"19";-71.2542583494662;-28.5005344425995;2020-07-16;2
"III";"/index.php/region/index/id/III";"SM2";TRUE;"/index.php/estacion/index/id/192";"Huasco";"Huasco";"286412 E 6849717 N";"19";-71.1813991608382;-28.4616614357619;2020-07-16;2
"III";"/index.php/region/index/id/III";"SM3 ";TRUE;"/index.php/estacion/index/id/252";"Huasco";"Huasco";"286750 E 6848592 N";"19";-71.1781573521909;-28.4718643876107;2020-07-16;2
"III";"/index.php/region/index/id/III";"SM4 ";TRUE;"/index.php/estacion/index/id/214";"Huasco";"Huasco";"287841 E 6847562 N";"19";-71.167210044069;-28.4813331610151;2020-07-16;6
"III";"/index.php/region/index/id/III";"SM5 ";TRUE;"/index.php/estacion/index/id/121";"Huasco";"Huasco";"289916 E 6847254 N";"19";-71.1460823232612;-28.484447537988;2020-07-16;2
"III";"/index.php/region/index/id/III";"SM6 ";TRUE;"/index.php/estacion/index/id/258";"Huasco";"Freirina";"291871 E 6845160 N";"19";-71.1265013648841;-28.5036499701697;2020-07-16;2
"III";"/index.php/region/index/id/III";"SM7 ";TRUE;"/index.php/estacion/index/id/187";"Huasco";"Freirina";"294836 E 6845838 N";"19";-71.0961031365579;-28.4980045782985;2020-07-16;2
"III";"/index.php/region/index/id/III";"SM8 ";TRUE;"/index.php/estacion/index/id/265";"Huasco";"Freirina";"296285 E 6844810 N";"19";-71.0814892198731;-28.5075052628427;2020-07-16;6
"III";"/index.php/region/index/id/III";"Tierra Amarilla";TRUE;"/index.php/estacion/index/id/224";"Copiapó";"Tierra Amarilla";"6960567 E 375128 N";"19";NA;NA;2020-07-16;5
"IV";"/index.php/region/index/id/IV";"Andacollo";TRUE;"/index.php/estacion/index/id/171";"Elqui";"Andacollo";"299236 E 6654136 N";"19";-71.0861361539625;-30.2277602244762;2020-07-16;12
"IV";"/index.php/region/index/id/IV";"Caimanes";FALSE;"/index.php/estacion/index/id/32";"Choapa";"Los Vilos";"298016 E 6465581 N";"19";-71.1365134943238;-31.9277451278238;2020-07-16;1
"IV";"/index.php/region/index/id/IV";"Camisas";FALSE;"/index.php/estacion/index/id/8";"Choapa";"Salamanca";"315066 E 6471115 N";"19";-70.9552031617204;-31.8807518554945;2020-07-16;1
"IV";"/index.php/region/index/id/IV";"Chacay";FALSE;"/index.php/estacion/index/id/9";"Choapa";"Los Vilos";"350388 E 6478539 N";"19";-70.5807567567853;-31.8189927232223;2020-07-16;1
"IV";"/index.php/region/index/id/IV";"Chepiquilla";TRUE;"/index.php/estacion/index/id/156";"Elqui";"Andacollo";"299687 E 6651480 N";"19";-71.0819574129218;-30.2517873405938;2020-07-16;4
"IV";"/index.php/region/index/id/IV";"Coiron";FALSE;"/index.php/estacion/index/id/137";"Choapa";"Salamanca";"3331969 E 6469032 N";"19";NA;NA;2020-07-16;1
"IV";"/index.php/region/index/id/IV";"Coquimbo";TRUE;"/index.php/estacion/index/id/194";"Elqui";"Coquimbo";"274609 E 6682171 N";"19";-71.3359111671868;-29.9706484846619;2020-07-16;7
"IV";"/index.php/region/index/id/IV";"Cuncumen ";TRUE;"/index.php/estacion/index/id/257";"Choapa";"Salamanca";"345907 E 6470680 N";"19";-70.6293316903568;-31.8892712538071;2020-07-16;14
"IV";"/index.php/region/index/id/IV";"El Mauro";FALSE;"/index.php/estacion/index/id/15";"Choapa";"Los Vilos";"310031 E 6460710 N";"19";-71.0104488451494;-31.9737373083956;2020-07-16;1
"IV";"/index.php/region/index/id/IV";"El Sauce";TRUE;"/index.php/estacion/index/id/150";"Elqui";"Andacollo";"298447 E 6653538 N";"19";-71.0944444110818;-30.2330223924944;2020-07-16;4
"IV";"/index.php/region/index/id/IV";"Hospital";TRUE;"/index.php/estacion/index/id/268";"Elqui";"Andacollo";"299236 E 6654140 N";"19";-71.0861353921716;-30.2277241512993;2020-07-16;9
"IV";"/index.php/region/index/id/IV";"Hotel Mina";FALSE;"/index.php/estacion/index/id/16";"Choapa";"Salamanca";"354828 E 6482864 N";"19";-70.5332152513101;-31.7805601557259;2020-07-16;1
"IV";"/index.php/region/index/id/IV";"La Serena";TRUE;"/index.php/estacion/index/id/95";"Elqui";"Coquimbo";"282211 E 6687896 N";"19";-71.2560113121664;-29.9203957583954;2020-07-16;7
"IV";"/index.php/region/index/id/IV";"Punta Chungo";FALSE;"/index.php/estacion/index/id/144";"Choapa";"Los Vilos";"264090 E 647024 N";"19";NA;NA;2020-07-16;1
"IV";"/index.php/region/index/id/IV";"Quelen Alto";FALSE;"/index.php/estacion/index/id/17";"Choapa";"Salamanca";"326384 E 6469765 N";"19";-70.8358401005899;-31.8947090306186;2020-07-16;1
"IV";"/index.php/region/index/id/IV";"Urmeneta - Plaza Centenario";TRUE;"/index.php/estacion/index/id/148";"Elqui";"Andacollo";"299480 E 6653245 N";"19";-71.0837716765867;-30.2358358606235;2020-07-16;4
"IX";"/index.php/region/index/id/IX";"Las Encinas Temuco";TRUE;"/index.php/estacion/index/id/186";"Cautín";"Temuco";"706767 E 5708420 N";"18";-72.620705821348;-38.748716856527;2020-07-16;35
"IX";"/index.php/region/index/id/IX";"Museo Ferroviario";FALSE;"/index.php/estacion/index/id/110";"Cautín";"Temuco";"711144 E 5710911 N";"18";-72.5711409411702;-38.7252530174477;2020-07-16;23
"IX";"/index.php/region/index/id/IX";"Ñielol";TRUE;"/index.php/estacion/index/id/237";"Cautín";"Temuco";"710378 E 5710745 N";"18";-72.579894727054;-38.726930315475;2020-07-16;11
"IX";"/index.php/region/index/id/IX";"Padre Las Casas";FALSE;"/index.php/estacion/index/id/18";"Cautín";"Padre las Casas";"708934 E 5705703 N";"19";-72.595024;-38.772463;2020-07-16;6
"IX";"/index.php/region/index/id/IX";"Padre Las Casas II";TRUE;"/index.php/estacion/index/id/263";"Cautín";"Padre las Casas";"708625 E 5706593 N";"18";-72.5987915106651;-38.7647297790063;2020-07-16;24
"M";"/index.php/region/index/id/M";"Cerrillos";TRUE;"/index.php/estacion/index/id/206";"Santiago";"Cerrillos";"341687 E 6292449 N";"19";-70.7042093293862;-33.4957805377479;2020-07-16;4
"M";"/index.php/region/index/id/M";"Cerrillos I";FALSE;"/index.php/estacion/index/id/116";"Santiago";"Cerrillos";"340277 E 6292747 N";"19";-70.7193286606829;-33.4928842335523;2020-07-16;24
"M";"/index.php/region/index/id/M";"Cerro Navia";TRUE;"/index.php/estacion/index/id/228";"Santiago";"Cerro Navia";"338984 E 6299360 N";"19";-70.7320550936643;-33.433070402768;2020-07-16;24
"M";"/index.php/region/index/id/M";"El Bosque";TRUE;"/index.php/estacion/index/id/260";"Santiago";"El Bosque";"345313 E 6286825 N";"19";-70.6661628607822;-33.54701601897;2020-07-16;24
"M";"/index.php/region/index/id/M";"Independencia";TRUE;"/index.php/estacion/index/id/272";"Santiago";"Independencia";"346488 E 6300681 N";"19";-70.6511386332829;-33.4222611899675;2020-07-16;22
"M";"/index.php/region/index/id/M";"La Florida";TRUE;"/index.php/estacion/index/id/262";"Santiago";"La Florida";"352504 E 6290304 N";"19";-70.5881601035897;-33.5166668832046;2020-07-16;22
"M";"/index.php/region/index/id/M";"Las Condes";TRUE;"/index.php/estacion/index/id/239";"Santiago";"Las Condes";"358305 E 6305906 N";"19";-70.5232561485338;-33.3767760480796;2020-07-16;31
"M";"/index.php/region/index/id/M";"Parque O'Higgins";TRUE;"/index.php/estacion/index/id/273";"Santiago";"Santiago";"345673 E 6296019 N";"19";-70.6607022934447;-33.4641765050683;2020-07-16;28
"M";"/index.php/region/index/id/M";"Pudahuel";TRUE;"/index.php/estacion/index/id/190";"Santiago";"Pudahuel";"337311 E 6298809 N";"19";-70.7501440879609;-33.4377853571256;2020-07-16;28
"M";"/index.php/region/index/id/M";"Puente Alto";TRUE;"/index.php/estacion/index/id/233";"Cordillera";"Puente Alto";"352049 E 6282013 N";"19";-70.594430678157;-33.5913562403892;2020-07-16;24
"M";"/index.php/region/index/id/M";"Quilicura";TRUE;"/index.php/estacion/index/id/271";"Santiago";"Quilicura";"339594 E 6308625 N";"19";-70.7238457658324;-33.3496312950099;2020-07-16;4
"M";"/index.php/region/index/id/M";"Quilicura I";FALSE;"/index.php/estacion/index/id/149";"Santiago";"Quilicura";"337356 E 6306788 N";"19";-70.7482185408749;-33.3658568782831;2020-07-16;24
"M";"/index.php/region/index/id/M";"Talagante";TRUE;"/index.php/estacion/index/id/197";"Talagante";"Talagante";"318945 E 6272298 N";"19";-70.9529961584255;-33.6738193129904;2020-07-16;22
"V";"/index.php/region/index/id/V";"ARMAT";FALSE;"/index.php/estacion/index/id/5";"Valparaíso";"Quilpué";"273138 E 6341755 N";"19";-71.4292924605608;-33.0391029855343;2020-07-16;3
"V";"/index.php/region/index/id/V";"Campiche";TRUE;"/index.php/estacion/index/id/182";"Valparaíso";"Puchuncaví";"270343 E 6375300 N";"19";-71.4508565979414;-32.73620138359;2020-07-16;24
"V";"/index.php/region/index/id/V";"Catemu";TRUE;"/index.php/estacion/index/id/165";"San Felipe de Aconcagua";"Catemu";"316512 E 6371481 N";"19";-70.9591837560663;-32.7792963545011;2020-07-16;5
"V";"/index.php/region/index/id/V";"Central Quintero";TRUE;"/index.php/estacion/index/id/129";"Valparaíso";"Quintero";"267262 E 6369644 N";"19";-71.4851263819197;-32.7865274698714;2020-07-16;10
"V";"/index.php/region/index/id/V";"Centro Quintero";TRUE;"/index.php/estacion/index/id/204";"Valparaíso";"Quintero";"262853 E 6369407 N";"19";NA;NA;2020-07-16;25
"V";"/index.php/region/index/id/V";"Chagres Meteorologia";TRUE;"/index.php/estacion/index/id/131";"San Felipe de Aconcagua";"Catemu";"31230 E 636645 N";"19";-70.960103273392;-32.805889016286;2020-07-16;15
"V";"/index.php/region/index/id/V";"Colmo";TRUE;"/index.php/estacion/index/id/177";"Valparaíso";"Concón";"271850 E 6354848 N";"19";-71.4398245424086;-32.9208371021842;2020-07-16;26
"V";"/index.php/region/index/id/V";"Concón";TRUE;"/index.php/estacion/index/id/185";"Valparaíso";"Concón";"264784 E 6354247 N";"19";-71.5154792162753;-32.9247557381984;2020-07-16;34
"V";"/index.php/region/index/id/V";"Concón MMA";TRUE;"/index.php/estacion/index/id/202";"Valparaíso";"Concón";"265070 E 6354089 N";"19";-71.5124634502457;-32.9262411069871;2020-07-16;2
"V";"/index.php/region/index/id/V";"Concón sur";FALSE;"/index.php/estacion/index/id/140";"Valparaíso";"Concón";"263631 E 6353317 N";"19";-71.5280379226329;-32.9328878760013;2020-07-16;5
"V";"/index.php/region/index/id/V";"Cuerpo de Bomberos ";TRUE;"/index.php/estacion/index/id/141";"Quillota";"Quillota";"289762 E 6359166 N";"19";-71.2474237788773;-32.8855084171758;2020-07-16;24
"V";"/index.php/region/index/id/V";"Junta de Vecinos";TRUE;"/index.php/estacion/index/id/89";"Valparaíso";"Concón";"263944 E 6353098 N";"19";-71.5247492125188;-32.9349290959081;2020-07-16;20
